APMC,Commodity,Month,Year,max_price
Barshi,brinjal,October,2016,4163
Barshi,tomato,July,2016,2445
Barshi,cabbage,July,2016,1486
Barshi,green chilli,July,2016,5190
Barshi,flower,July,2016,1641
Barshi,flower,October,2016,1447
Barshi,lemon,September,2016,4647
Barshi,cluster bean,October,2016,4821
Barshi,cucumber,October,2016,1590
Barshi,ladies finger,July,2016,2105
Barshi,ladies finger,October,2016,2106
Barshi,capsicum,July,2016,3569
Barshi,bitter gourd,July,2016,3156
Barshi,bitter gourd,November,2016,2444
Pune,squash gourd,June,2016,6300
Vadgaon Peth,tomato,June,2016,6706
Mumbai,squash gourd,April,2016,3550
Mumbai,squash gourd,May,2016,3952
Mumbai,squash gourd,June,2016,4727
Aurangabad,tomato,June,2016,5528
Aurangabad,tomato,July,2016,3321
Kalvan,onion,August,2015,5111
Kalvan,onion,September,2015,5050
Kalvan,onion,October,2015,3786
Yeola,onion,August,2015,4840
Yeola,onion,September,2015,4716
Yeola,onion,October,2015,3602
Shahada,maize,April,2015,6713
Pune-Pimpri,onion,August,2015,4574
Pune-Pimpri,onion,September,2015,4593
Pune-Pimpri,onion,November,2015,3875
Solapur,papai,April,2015,1367
Solapur,papai,June,2015,1425
Solapur,papai,June,2016,1890
