APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name
Akole,gram,2014,September,17,3000,3133,3067.0,2014-09-01,Ahmadnagar,Maharashtra
Akole,gram,2014,October,32,3000,3200,3100.0,2014-10-01,Ahmadnagar,Maharashtra
Akole,gram,2014,November,59,3194,3300,3230.0,2014-11-01,Ahmadnagar,Maharashtra
Akole,gram,2014,December,9,3200,3300,3235.0,2014-12-01,Ahmadnagar,Maharashtra
Akole,gram,2015,January,11,3200,3300,3250.0,2015-01-01,Ahmadnagar,Maharashtra
Akole,gram,2015,February,3,3175,3300,3200.0,2015-02-01,Ahmadnagar,Maharashtra
Akole,gram,2015,March,15,3100,3300,3225.0,2015-03-01,Ahmadnagar,Maharashtra
Akole,gram,2015,April,39,3200,3500,3350.0,2015-04-01,Ahmadnagar,Maharashtra
Akole,gram,2015,May,58,3338,3950,3500.0,2015-05-01,Ahmadnagar,Maharashtra
Akole,gram,2015,June,53,3300,3975,3675.0,2015-06-01,Ahmadnagar,Maharashtra
Akole,gram,2015,July,38,3300,3850,3525.0,2015-07-01,Ahmadnagar,Maharashtra
Akole,gram,2015,August,27,3333,4033,3567.0,2015-08-01,Ahmadnagar,Maharashtra
Akole,gram,2015,September,7,3400,4400,3600.0,2015-09-01,Ahmadnagar,Maharashtra
Akole,gram,2015,October,36,3300,4375,3500.0,2015-10-01,Ahmadnagar,Maharashtra
Akole,gram,2015,November,45,3300,4100,3575.0,2015-11-01,Ahmadnagar,Maharashtra
Akole,gram,2015,December,12,3300,4250,3650.0,2015-12-01,Ahmadnagar,Maharashtra
Akole,gram,2016,January,17,3300,4500,3550.0,2016-01-01,Ahmadnagar,Maharashtra
Akole,gram,2016,February,16,3300,3800,3500.0,2016-02-01,Ahmadnagar,Maharashtra
Akole,gram,2016,March,42,3450,4175,3800.0,2016-03-01,Ahmadnagar,Maharashtra
Akole,gram,2016,April,70,3767,4833,4383.0,2016-04-01,Ahmadnagar,Maharashtra
Akole,gram,2016,May,16,4333,5500,5067.0,2016-05-01,Ahmadnagar,Maharashtra
Akole,gram,2016,June,29,4375,5900,5300.0,2016-06-01,Ahmadnagar,Maharashtra
Akole,gram,2016,July,10,5000,7000,5680.625,2016-07-01,Ahmadnagar,Maharashtra
Akole,gram,2016,August,8,5000,6600,5680.625,2016-08-01,Ahmadnagar,Maharashtra
Akole,gram,2016,October,64,5875,8000,5680.625,2016-10-01,Ahmadnagar,Maharashtra
Akole,gram,2016,November,30,5500,7500,5680.625,2016-11-01,Ahmadnagar,Maharashtra
